标题,引言,作者,出版书,日期,文章属性,关键词,下载数量,引用数量
基于机器学习的S企业战略资产管理研究  CNKI文献,"重庆理工大学 会计学院 硕士 2024 基于机器学习的S企业战略资产管理研究 Research on Strategic Asset Management of S Enterprise Based on Machine Learning 刘泓 程平 会计硕士（专业学位） 大数据及人工智能财务 随着新一代信息智能技术如大数据和人工智能的迅猛发展,战略资产管理正迎来新...",刘泓 导师:程平,中国优秀硕士学位论文全文数据库, 2024-03-20 ,中国优秀硕士学位论文全文数据库,关键词：战略资产管理 / 机器学习 / 水务企业,下载（84）,被引（0）
基于机器学习的供水目标成本智能管理研究  CNKI文献,重庆理工大学 会计学院 硕士 2024 基于机器学习的供水目标成本智能管理研究 A Study on Intelligent Management of Water Supply Target Cost Based on Machine Learning 以Z水务企业为例 Taking Z Water Utility Company as an Example 朱思懿 ...,朱思懿 导师:程平;王会然,中国优秀硕士学位论文全文数据库, 2024-03-16 ,中国优秀硕士学位论文全文数据库,关键词：目标成本管理 / BP神经网络 / 数据仓库,下载（73）,被引（0）
基于机器学习的多级评分认知诊断个人拟合方法研究  CNKI文献,贵州师范大学 硕士 2024 基于机器学习的多级评分认知诊断个人拟合方法研究 Person-fit for Cognitive Diagnostic Tests with Polytomous Items Based on Machine Learning 李宁 高旭亮 应用心理（专业学位） 心理统计与测量 认知诊断评估(Cognitive Diagnostic As...,李宁 导师:高旭亮,中国优秀硕士学位论文全文数据库, 2024-05-29 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 认知诊断 / 个人拟合统计量 / 异常反应模式,下载（44）,被引（0）
机器学习驱动的镁、铝合金熔体结构与动力学模拟研究及其对凝固行为的影响  CNKI文献,吉林大学 材料科学与工程学院 博士 2024 TG146.2 机器学习驱动的镁、铝合金熔体结构与动力学模拟研究及其对凝固行为的影响 Machine Learning-driven Simulation Study of Structure and Dynamics in Magnesium and Aluminum Alloy Melts and Their Effects...,尤江 导师:王珵,中国博士学位论文全文数据库, 2024-06-01 ,中国博士学位论文全文数据库,关键词：轻合金 / 金属熔体 / 短程有序结构 / 动力学,下载（229）,被引（0）
真实世界中肝酶与2型糖尿病、糖尿病肾病的相关性分析及基于机器学习的2型糖尿病预测模型研究  CNKI文献,吉林大学 吉林大学白求恩第一临床医学院 博士 2024 R587.1 真实世界中肝酶与2型糖尿病、糖尿病肾病的相关性分析及基于机器学习的2型糖尿病预测模型研究 A Real-world Study on the Association of Liver Enzymes with Type 2 Diabetes and Diabetic Kidney Disease and ...,毕亚茹 导师:孙成林,中国博士学位论文全文数据库, 2024-05-01 ,中国博士学位论文全文数据库,关键词：肝酶 / 2型糖尿病 / 糖尿病肾病 / 机器学习,下载（380）,被引（0）
基于机器学习的Pt-Sn和Pt-Si-Sn体系的理论研究  CNKI文献,"烟台大学 硕士 2024 O469 基于机器学习的Pt-Sn和Pt-Si-Sn体系的理论研究 Theoretical Research on Pt-Sn and Pt-Si-Sn Systems Based on Machine Learning 史国勇 张超 物理学 近年来,由于Pt基合金在微电子工业和催化领域的广泛应用,人们对其进行了广泛而深入的研究。本论文基于~...",史国勇 导师:张超,中国优秀硕士学位论文全文数据库, 2024-06-11 ,中国优秀硕士学位论文全文数据库,关键词：Pt-Sn体系 / Pt-Si-Sn体系 / 第一性原理计算 / 机器学习原子间势函数,下载（64）,被引（0）
TiO_2光催化降解污染物的机器学习预测  CNKI文献,"重庆理工大学 理学院 硕士 2024 TiO_2光催化降解污染物的机器学习预测 Machine Learning Prediction of TiO_2 Photocatalytic Degradation of Pollutants 唐容 刘雪芹；魏大鹏 电子信息（专业学位） 光催化的机器学习预测 能源短缺和水资源污染成为全球关注的问题,光催化降解技术...",唐容 导师:刘雪芹;魏大鹏,中国优秀硕士学位论文全文数据库, 2024-03-23 ,中国优秀硕士学位论文全文数据库,关键词：降解污染物 / TiO_2光催化 / 机器学习 / XGBoost,下载（120）,被引（0）
机器学习估算光催化降解有机污染物反应速率常数的研究  CNKI文献,山东师范大学 硕士 2024 TQ579 机器学习估算光催化降解有机污染物反应速率常数的研究 Study about Machine Learning for Estimating the Reaction Rate Constant of Photocatalytic Degradation of Organic Pollutants 杨文杰 唐波 化学工程与技术 ...,杨文杰 导师:唐波,中国优秀硕士学位论文全文数据库, 2024-06-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 光催化 / 有机污染物 / 反应速率常数,下载（154）,被引（0）
大数据下基于机器学习的企业预算管理研究  CNKI文献,重庆理工大学 会计学院 硕士 2024 大数据下基于机器学习的企业预算管理研究 Research on Budget Management of Enterprises Based on Machine Learning under Big Data 以ABC公司为例 Take ABC Company as an Example 谭果君 程平；兰福生 会计（专业学位...,谭果君 导师:程平;兰福生,中国优秀硕士学位论文全文数据库, 2024-03-22 ,中国优秀硕士学位论文全文数据库,关键词：预算管理 / 大数据 / 机器学习,下载（165）,被引（0）
基于机器学习的X企业智能成本控制研究  CNKI文献,"重庆理工大学 会计学院 硕士 2024 基于机器学习的X企业智能成本控制研究 Research on Intelligent Cost Control of X Enterprise Based on Machine Learning 邓佳红 程平；戴晓红 会计硕士（专业学位） AICFO 随着大数据、人工智能等新兴技术的快速发展,企业成本控制智能化趋势已势不可挡,...",邓佳红 导师:程平;戴晓红,中国优秀硕士学位论文全文数据库, 2024-03-22 ,中国优秀硕士学位论文全文数据库,关键词：污水处理企业 / 机器学习 / 智能成本控制 / 药耗成本,下载（78）,被引（0）
基于机器学习的金属间化合物构效关系挖掘  CNKI文献,"河南科技大学 硕士 2023 基于机器学习的金属间化合物构效关系挖掘 Exploring Structure-property Relationships of Intermetallic Compounds Based on Machine Learning 朱德鑫 潘昆明；任永鹏 材料学 金属间化合物代表了一类有潜力的金属基结构材料,其有序晶体结构、金属键与共价键共...",朱德鑫 导师:潘昆明;任永鹏,中国优秀硕士学位论文全文数据库, 2023-06-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 金属间化合物 / 韧脆转变温度 / 体积模量,下载（10）,被引（0）
基于CFD及机器学习的高层建筑气动荷载时程预测研究  CNKI文献,"广州大学 硕士 2024 基于CFD及机器学习的高层建筑气动荷载时程预测研究 Numerical Prediction on Time Series of Aerodynamic Loading of Tall Building by CFD and Machine Learning Algorithm 王坤 吴玖荣 土木工程（专业学位） 结构抗风 近年来,随着我国经...",王坤 导师:吴玖荣,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：高层建筑 / CFD数值仿真 / 机器学习算法 / 优化算法,下载（96）,被引（0）
基于机器学习的关中地区主要污染物浓度短期预测研究  CNKI文献,中国科学院大学(中国科学院地球环境研究所) 中国科学院地球环境研究所 硕士 2023 基于机器学习的关中地区主要污染物浓度短期预测研究 Short-term Prediction of Main Pollutant Concentration in Guanzhong Based on Machine Learning 刘南健 周卫健 中国科学院地球环境研究所 第四纪...,刘南健 导师:周卫健,中国优秀硕士学位论文全文数据库, 2023-06-01 ,中国优秀硕士学位论文全文数据库,关键词：PM_(2.5)浓度短期预测 / 机器学习 / 时空预测 / 相关性分析,下载（27）,被引（0）
基于机器学习方法对细颗粒物污染成因的研究  CNKI文献,南开大学 环境科学与工程学院 硕士 2022 基于机器学习方法对细颗粒物污染成因的研究 Research on the Causes of Fine Particulate Pollution Based on Machine Learning Methods 张忠诚 史国良 环境工程（专业学位） 大气污染防治 李岳；张霖琳 毕晓辉 环境中高浓度的PM_(2.5...,张忠诚 导师:史国良,中国优秀硕士学位论文全文数据库, 2022-05-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / PM_(2.5) / 二次无机颗粒物 / PMF,下载（95）,被引（0）
基于脑电特征的机器学习方法判读早产儿脑成熟度的准确性分析  CNKI文献,吉林大学 吉林大学白求恩第一临床医学院 硕士 2024 R722.6 基于脑电特征的机器学习方法判读早产儿脑成熟度的准确性分析 Accuracy Analysis of Machine Learning Method Based on EEG Features in Interpreting Brain Maturity of Premature Infants 丁帅文 ...,丁帅文 导师:武辉,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：脑电图 / 早产儿 / 机器学习 / 脑成熟度,下载（41）,被引（0）
典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测  CNKI文献,吉林大学 新能源与环境学院 硕士 2024 X32 典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测 Machine Learning Classification and Regression Model Prediction of Human Carcinogenic and Endocrine Disruptive Toxicity of Ty...,郝宁 导师:赵文晋,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 有机化学品 / 致癌性 / 内分泌干扰性,下载（73）,被引（0）
基于机器学习的红外大气传输预测与气溶胶特征识别方法研究  CNKI文献,西安电子科技大学 硕士 2023 O45 基于机器学习的红外大气传输预测与气溶胶特征识别方法研究 Research on Infrared Atmospheric Transport Prediction and Aerosol Feature Recognition Based on Machine Learning 张钰 李海英 无线电物理 红外大气辐射传输特性在...,张钰 导师:李海英,中国优秀硕士学位论文全文数据库, 2023-04-01 ,中国优秀硕士学位论文全文数据库,关键词：大气透过率 / 气溶胶识别 / 机器学习 / 卷积神经网络,下载（29）,被引（0）
机器学习辅助的温室气体分离材料筛选与设计  CNKI文献,北京化工大学 硕士 2024 TQ013 机器学习辅助的温室气体分离材料筛选与设计 Machine Learning Assisted Screening and Design of Greenhouse Gas Separation Materials 文一如 刘大欢 北京化工大学 化学工程与技术 计算化学 陈晓春 温室气体的持续排放将进一步加剧全球变暖的危机...,文一如 导师:刘大欢,中国优秀硕士学位论文全文数据库, 2024-05-30 ,中国优秀硕士学位论文全文数据库,关键词：金属有机骨架材料 / 机器学习 / 分子模拟 / 气体分离,下载（48）,被引（0）
机器学习辅助高通量计算筛选MOFs用于化学战剂的捕获  CNKI文献,广州大学 硕士 2024 机器学习辅助高通量计算筛选MOFs用于化学战剂的捕获 Machine Learning-assisted High-throughput Computational Screening of MOFs for Chemical Warfare Agent Capture 王雯菲 刘芝婷 化学工程（专业学位） 材料AI设计与计算 化学战剂(Ch...,王雯菲 导师:刘芝婷,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：金属-有机框架 / 化学战剂 / 分子模拟 / 机器学习,下载（32）,被引（0）
可解释机器学习在电网调控领域中的应用  CNKI文献,0 引言 随着以新能源为主体的新型电力系统建设，电力系统的电源构成、网架结构、负荷特性比以往发生了重大变化，具有更强的不确定性、复杂性和非线性[1]。电力系统中很多问题难以建立精确的数学模型或者难以单纯用数学模型描述[2]。因此，近年来，以机器学习、深度学习等数据驱动方法为代表的新一代人工智能技术在电网调控领域得到广泛应用，取得了显著的成果。 [1] [2] 目前，...,庞传军 王珅 余建明,《电力信息与通信技术》,2024年05期,期刊,关键词：人工智能 / 机器学习 / 电网调度运行 / 可解释机器学习,下载（305）,被引（0）
机器学习在心血管疾病中应用的研究进展  CNKI文献,随着人口老龄化进程加快，受居民不良生活方式的影响，心血管疾病发病率逐年增高。据统计，2020年，我国罹患心血管病人数约为3.3亿例，且农村地区心血管病死亡率高于城市[1]。临床对心血管疾病的诊断主要依赖医师对病人临床症状、既往病史及辅助检查的综合分析。医师的经验水平对诊疗效率带来一定的影响，且心血管疾病的诊断过程烦琐且价格昂贵[1]。机器学习因具有强大的分析与处理能力，在心血管疾病临床...,郑琰莉 苏文星 宋元涛,《中西医结合心脑血管病杂志》,2024年10期,期刊,关键词：心血管疾病 / 机器学习 / 临床应用 / 综述,下载（513）,被引（0）
面向研究生的机器学习类课程实践改革研究  CNKI文献,1人工智能课程的重要性 近年来，新一代信息技术如云计算、物联网技术、人机交互和移动互联网等相继涌现。大数据已深入人类生活的方方面面，因而产生了大量的数据信息，面对海量的数据信息，研究大数据最大的意义在于在对数据的分析和挖掘中，发现新的知识并创造新的价值，提升新能力，进而改善新的产品。数据的价值在于将信息转化为知识。如果不能深度加工数据，即使数据量再庞大，其所能呈现的价值依然是小的。因此，如何有效...,敬超 郑荣华,《科教导刊》,2024年15期,期刊,关键词：机器学习 / 人工智能 / 研究生 / 课程及专业建设,下载（105）,被引（0）
基于机器学习的汽车故障诊断技术研究  CNKI文献,引言 随着汽车技术的不断进步，车辆的结构和控制系统变得越来越复杂，故障诊断的难度也相应增大。传统的故障诊断方法往往依赖于经验和技术人员的直觉，效率低下且出错率高。因此，研究基于机器学习的汽车故障诊断技术具有十分重要的现实意义和应用价值。 1 机器学习技术与故障诊断技术 1.1 机器学习技术概述 机器学习作为人工智能的一个重要分支，其目标在于让...,蔡亮,《汽车知识》,2024年05期,期刊,关键词：机器学习 / 汽车故障诊断 / 数据驱动 / 智能化,下载（15）,被引（0）
基于机器学习的回归技术及理论研究  CNKI文献,"华东师范大学 博士 2024 O212.1 基于机器学习的回归技术及理论研究 Research on Regression Techniques and Theories Based on Machine Learning 邱锐 於州 统计学 统计机器学习 朱仲义 随着人工智能时代的来临,回归技术作为一种强大的统计工具,在解释变量之间关系的同时,在~#...",邱锐 导师:於州,中国博士学位论文全文数据库, 2024-03-01 ,中国博士学位论文全文数据库,关键词：神经网络 / 随机森林 / 充分降维 / 度量空间,下载（44）,被引（0）
基于数值模拟和机器学习的非接触式车辆称重方法  CNKI文献,"湖南大学 土木工程学院 硕士 2023 U44 基于数值模拟和机器学习的非接触式车辆称重方法 Non-contact Vehicle Weighing Method Based on Numerical Simulation and Machine Learning 余甜甜 孔烜 土木工程 车辆称重 黄远 随着我国交通运输业的迅速发展,运输车辆的数量和载重不断增...",余甜甜 导师:孔烜,中国优秀硕士学位论文全文数据库, 2023-05-08 ,中国优秀硕士学位论文全文数据库,关键词：车辆称重 / 轮胎荷载 / 轮胎参数 / 数值模拟,下载（21）,被引（0）
基于复合参数机器学习模型的路面抗滑性能研究  CNKI文献,"重庆交通大学 硕士 2024 U416.2 基于复合参数机器学习模型的路面抗滑性能研究 Study on Road Surface Anti Slip Performance Based on Composite Parameter Machine Learning Model 张政奇 何小兵；彭毅 交通运输工程 路面抗滑性能直接影响着道路交通安全,良好的路面抗滑性能...",张政奇 导师:何小兵;彭毅,中国优秀硕士学位论文全文数据库, 2024-06-01 ,中国优秀硕士学位论文全文数据库,关键词：路面抗滑 / 路面纹理 / 机器学习 / 图像降维,下载（40）,被引（0）
机器学习辅助的信道参数估计  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 近几十年来，移动通信技术的迅速发展已经深刻改变了现代社会的生产、管理和人 们的生活方式[1]。无线信道作为无线通信系统信息传播的媒介，其特性对于设计无线通 信系统、分析通信质量和模拟网络性能等具有重要的意义[2]-[4]。可以说在无线通信系统 中，无线传输的性能直接取决于信道的传播特性，因此，有关无线信道的测量参数的估 计对...,朱勇 导师:王海明,中国优秀硕士学位论文全文数据库, 2023-05-19 ,中国优秀硕士学位论文全文数据库,关键词：信道参数估计 / 到达角估计 / 多径时延估计 / 机器学习,下载（6）,被引（0）
基于机器学习的上市公司财务状况质量评价研究  CNKI文献,"重庆理工大学 硕士 2024 基于机器学习的上市公司财务状况质量评价研究 Research on Quality Evaluation of Financial Status of Listed Companies Based on Machine Learning 邓湘煜 程平 会计学 会计信息化 随着大数据、人工智能等新一代信息技术的发展,各行各业都在积极探索如何...",邓湘煜 导师:程平,中国优秀硕士学位论文全文数据库, 2024-03-20 ,中国优秀硕士学位论文全文数据库,关键词：财务状况质量评价 / 企业画像 / 机器学习,下载（185）,被引（0）
基于机器学习的阵列天线高效综合技术研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景与意义 天线是无线电系统的眼睛和耳朵，能有效地辐射和接收携带信息的波，因此被 广泛应用于通信、成像、导航、雷达和遥感等各个领域[1]。随着科技的进步，人们 对系统中天线的性能要求越来越高，例如需要产生特定形状的波束或者在某些方 向上增强辐射能量并在其他方向上抑制辐射能量等等。单一天线往往难以满足复 杂的应用需求，为此，需要将天线单元...,李秋梅 导师:陈益凯,中国优秀硕士学位论文全文数据库, 2024-04-01 ,中国优秀硕士学位论文全文数据库,关键词：非均匀阵列综合 / 机器学习 / 互耦效应 / 等效小阵列,下载（34）,被引（0）
《机器学习在生物科学应用中的最新进展与未来展望》（节选）的汉译及翻译实践报告  CNKI文献,贵州师范大学 硕士 2024 《机器学习在生物科学应用中的最新进展与未来展望》（节选）的汉译及翻译实践报告 The English-Chinese Translation of Machine Learning in Biological Sciences:Updates and Future Prospects (Excerpts) and a Report on the T...,杨培培 导师:刘瑾,中国优秀硕士学位论文全文数据库, 2024-05-20 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 生态翻译 / 三维转换 / 翻译方法,下载（58）,被引（0）
基于机器学习的混凝土损伤声发射定位研究  CNKI文献,"重庆交通大学 硕士 2024 TU528 基于机器学习的混凝土损伤声发射定位研究 Research on Acoustic Emission Localization of Concrete Damage Based on Machine Learning 邓嘉欣 王子仪 材料与化工（专业学位） 声发射技术可对混凝土内部损伤进行实时监测与定位,并判断其破坏类型与损伤程...",邓嘉欣 导师:王子仪,中国优秀硕士学位论文全文数据库, 2024-06-01 ,中国优秀硕士学位论文全文数据库,关键词：混凝土结构无损检测 / 声发射 / 损伤定位 / 机器学习,下载（87）,被引（0）
双流化床生物炭特性分析和VOCs吸附机器学习模型预测  CNKI文献,北京化工大学 硕士 2024 X511 双流化床生物炭特性分析和VOCs吸附机器学习模型预测 Characterzation of Dual Fluidized Bed Biochar and Prediction of VOCs Adsorption Via Machine Learning Model 陈远祥 代建军 北京化工大学 化学工程与技术 固废处理及资源...,陈远祥 导师:代建军,中国优秀硕士学位论文全文数据库, 2024-05-30 ,中国优秀硕士学位论文全文数据库,关键词：双流化床 / 生物炭 / 挥发性有机物 / 机器学习,下载（39）,被引（0）
基于可解释机器学习的中国表层土壤有机碳时空异质性研究  CNKI文献,中国环境科学研究院 硕士 2024 基于可解释机器学习的中国表层土壤有机碳时空异质性研究 Spatiotemporal Heterogeneity of Surface Soil Organic Carbon in China Based on Interpretable Machine Learning 孙怡 马瑾 环境科学 土壤碳循环 土壤有机碳(Soil Org...,孙怡 导师:马瑾,中国优秀硕士学位论文全文数据库, 2024-06-03 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 遥感反演 / 土壤有机碳 / 时空变化,下载（211）,被引（0）
基于机器学习的CHNO类含能材料爆速及感度预测研究  CNKI文献,南京理工大学 硕士 2023 基于机器学习的CHNO类含能材料爆速及感度预测研究 Study on Prediction of Detonation Velocity and Sensitivity of CHNO-Energetic Materials Based on Machine Learning 罗士保 谈玲华 材料与化工（专业学位） 含能材料性能预测研究 ...,罗士保 导师:谈玲华,中国优秀硕士学位论文全文数据库, 2023-03-01 ,中国优秀硕士学位论文全文数据库,关键词：爆速 / 撞击感度 / 静电火花感度 / 机器学习,下载（61）,被引（0）
基于波形特征的机器学习方法在岩石无损检测中的应用研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 1.1.1 背景介绍 岩石是由多种矿物组成的坚硬混合物，其内部结构受到形成过程和地质作用的影响， 常存在裂缝、节理、空隙和不连续面等缺陷，这些缺陷对岩土工程的质量和安全有重要 影响。为了保障安全生产，需要采用安全、准确的无损检测技术。在不破坏岩土体本身 的情况下检测其内部缺陷，是岩土工程探伤技术的趋势。无损检测（Nondes...,田卓然 导师:李建春;车平,中国优秀硕士学位论文全文数据库, 2023-05-22 ,中国优秀硕士学位论文全文数据库,关键词：岩土工程 / 岩石缺陷 / 无损检测 / 机器学习,下载（44）,被引（0）
基于机器学习的水体重金属污染预测与健康风险评价  CNKI文献,中南林业科技大学 生命与环境科学学院 硕士 2024 基于机器学习的水体重金属污染预测与健康风险评价 Machine Learning-Based Prediction of Heavy Metal Pollution in Water Bodies and Health Risk Assessment 冯良杰 王平；宋雨夏 环境工程（专业学位） 环境规划与评价 在...,冯良杰 导师:王平;宋雨夏,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：重金属 / 预测模型 / 机器学习 / 健康风险,下载（128）,被引（0）
基于知识迁移贯通的机器学习课程教学改革  CNKI文献,0 引言 机器学习是一门交叉学科，其涉及的领域包含概率论、数理统计学、最优化等。作为人工智能技术的重要组成部分，机器学习技术在图像识别、语音识别、推荐系统、自动驾驶等各行业都发挥了巨大作用。当前社会对机器学习人才的需求量越来越大，而高校作为人工智能人才的培养基地，则肩负起了推动我国人工智能高质量发展的重任，因此，近年来越来越多的国内高校开始重视机器学习@...,李爽 韩锐 李轩涯,《计算机教育》,2024年05期,期刊,关键词：机器学习 / 知识迁移 / OBE理念 / 学科融合,下载（189）,被引（0）
机器学习在地球物理勘探中铀矿资源勘查的应用研究进展  CNKI文献,2006年，Hinton[1]等提出的深度置信网络开启了人工智能的机器学习时代。此后，人工智能技术在各行业不断取得突破，如在自动驾驶、语音助手、语音识别和翻译、智能推荐、智能搜索和手写识别及医学等领域均取得了巨大进展。随着人工智能技术的快速发展，尤其是机器学习方法的广泛应用，极大地促进了智能化物探领域的发展。目前，机器学习AI技术广泛应用于物探领域，为地球物理学...,韩世礼 肖健 柳位,《铀矿地质》,2024年03期,期刊,关键词：机器学习 / 放射性勘探 / 地球物理测井 / 成矿预测,下载（295）,被引（0）
网络异常检测中机器学习的应用  CNKI文献,0 引言 本研究的意义在于深入探讨机器学习在网络安全中的作用，以提供有效应对网络威胁的解决方案。异常检测、入侵检测和恶意软件检测等领域的研究，能够展现机器学习技术在提高网络安全性能和防御能力方面的潜力。这将为构建更智能、更自适应的网络安全系统提供重要参考，以帮助保护个人信息，维护网络环境的稳定与安全。 1 异常检测概述 1.1 异常检测概述 在网络安全领域，异常检测...,孙瑾,《信息与电脑(理论版)》,2024年09期,期刊,关键词：机器学习 / 网络安全 / 异常检测 / 防御,下载（19）,被引（0）
基于机器学习的养老床位需求预测模型构建与验证  CNKI文献,0 引言 面对不断增长的人口老龄化课题，准确预测养老床位需求变得越来越重要。随着人口结构的变化，社会中老年人的比例越来越大，提供足够的护理设施来满足他们的需要变得越来越重要。这方面的规划和资源分配不足可能导致重大的社会和经济后果。以往，养老床位需求预测依赖于静态模型和简化的假设，这些模型和假设往往无法解释影响需求因素的复杂性和动态性。这些模型缺乏适应不断变化的环境的灵活性，如人口模式、健康状况和...,江玉婷,《家电维修》,2024年05期,期刊,关键词：机器学习 / 养老床位 / 需求预测模型,下载（290）,被引（0）
基于机器学习和模型预测控制的双热回收型DOAS全局优化研究  CNKI文献,广州大学 博士 2023 基于机器学习和模型预测控制的双热回收型DOAS全局优化研究 Global Optimization of Dedicated Outdoor Air System with Double Heat Recovery Based on Machine Learning and Model Predictive Control 陈思豪 周孝清 供热、...,陈思豪 导师:周孝清,中国博士学位论文全文数据库, 2023-06-01 ,中国博士学位论文全文数据库,关键词：独立新风空调系统 / 模型预测控制 / 机器学习 / Modelica,下载（84）,被引（0）
基于机器学习的建筑震后损伤评估模型及地震动特征分析方法研究  CNKI文献,广州大学 博士 2023 基于机器学习的建筑震后损伤评估模型及地震动特征分析方法研究 A Machine Learning-based Study on Post-Earthquake Damage Assessment Model and Ground Motion Characterization Method for Buildings 张鹏 孙作玉 结构工程 A...,张鹏 导师:孙作玉,中国博士学位论文全文数据库, 2023-11-01 ,中国博士学位论文全文数据库,关键词：机器学习 / 地震损伤评估 / 神经网络 / 地震动特征分析,下载（157）,被引（0）
贵金属基合金表面结构及吸附特性的机器学习研究  CNKI文献,吉林大学 材料科学与工程学院 博士 2024 TB34 贵金属基合金表面结构及吸附特性的机器学习研究 Machine Learning Study on Surface Structures and Adsorption Characteristics of Precious Metal Based Alloys 杨泽 高旺 材料学 计算材料学 赵占奎 由于合金...,杨泽 导师:高旺,中国博士学位论文全文数据库, 2024-06-01 ,中国博士学位论文全文数据库,关键词：合金 / 表面稳定性 / 吸附特性 / 本征描述符,下载（323）,被引（0）
基于机器学习与过程模型的水环境容量估算与土壤修复研究  CNKI文献,第 1 章 绪 论 - 1 - 第 1 章 绪 论 1.1 研究背景 水环境和土壤环境是人类生存和发展的重要组成部分。然而，由于人类活动和 工业化的不断发展，水环境和土壤环境面临严重的污染问题。这些污染不仅对环境 造成了破坏，也对人类健康和社会经济发展产生了严重的影响。污染物在自然环境 中的迁移转化活动涉及复杂的物理、化学和生物反应过程，且这些过程存在紧密的...,王欣 导师:刘崇炫,中国博士学位论文全文数据库, 2023-06-01 ,中国博士学位论文全文数据库,关键词：机器学习 / 过程模型 / 优化算法 / 水环境容量,下载（88）,被引（0）
基于机器学习与第一性原理计算的功能二维材料光电特性研究  CNKI文献,齐鲁工业大学 硕士 2024 O47 基于机器学习与第一性原理计算的功能二维材料光电特性研究 Optoelectronic Properties of Functional Two-dimensional Materials : Machine Learning Combined with First-principles Study 姜腾飞 冷建材 材料科学与工程 ...,姜腾飞 导师:冷建材,中国优秀硕士学位论文全文数据库, 2024-06-08 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 第一性原理计算 / 二维材料 / 光电特性,下载（290）,被引（0）
基于机器学习的Fe-C-Mn-Al系先进高强钢力学性能预测与设计研究  CNKI文献,成都大学 硕士 2024 基于机器学习的Fe-C-Mn-Al系先进高强钢力学性能预测与设计研究 Prediction and Design of Mechanical Properties of Fe-C-Mn-Al Advanced High Strength Steel Based on Machine Learning 程洪 何忠平；蒲宗山 材料与化工 先进高强钢...,程洪 导师:何忠平;蒲宗山,中国优秀硕士学位论文全文数据库, 2024-03-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 监督学习 / 先进高强钢 / 力学性能,下载（116）,被引（0）
基于机器学习的L污水处理企业智能成本预警研究  CNKI文献,重庆理工大学 会计学院 硕士 2024 基于机器学习的L污水处理企业智能成本预警研究 Research on Intelligent Cost Early Warning of L Sewage Treatment Enterprises Based on Machine Learning 李宛霖 程平；王宏波 会计硕士（专业学位） 大数据与人工智能财务 随着智能化...,李宛霖 导师:程平;王宏波,中国优秀硕士学位论文全文数据库, 2024-03-15 ,中国优秀硕士学位论文全文数据库,关键词：污水处理企业 / 大数据 / 智能成本预警 / 数据仓库,下载（92）,被引（0）
机器学习辅助的锈蚀PC梁抗剪承载力预测方法  CNKI文献,重庆交通大学 硕士 2024 U441.5 机器学习辅助的锈蚀PC梁抗剪承载力预测方法 Machine Learning-assisted Prediction Method for Shear Capacity of Corroded PC Beams 孟令涛 郭增伟 桥梁与隧道工程 钢筋混凝土(RC)和预应力钢筋混凝土(PC)结构的抗剪能力是保障结构安全的关键因素...,孟令涛 导师:郭增伟,中国优秀硕士学位论文全文数据库, 2024-06-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 遗传编程 / 锈蚀PC空心板梁 / 抗剪承载力,下载（64）,被引（0）
基于机器学习的创造性思维脑电信号分类  CNKI文献,"曲阜师范大学 心理学院 硕士 2024 基于机器学习的创造性思维脑电信号分类 高慧 刘春雷 基础心理学 创造力是促进人类文明繁荣发展、推动科技迭代更新的高级认知功能。作为创造力在认知层面的体现,创造性思维涉及复杂的认知基础和神经机制。脑电图(electroencephalogram,EEG)作为一种低成本、高时间分辨率的神经成像技术,为研究者提供了深入研究创造性思维的机...",高慧 导师:刘春雷,中国优秀硕士学位论文全文数据库, 2024-03-07 ,中国优秀硕士学位论文全文数据库,关键词：创造性思维 / 机器学习 / 脑电图 / 支持向量机,下载（66）,被引（0）
